SessionId,Start,Competition (Text),Season,Score,Home-Away (Text),Team Name,Formation Played (Text),Opposition Formation (Text),Opposition,Fouls Won - Opposition,Successful Dribbles - Team,Aerials Duels Won % - Team,Free Kicks - Goal Scored 2nd Phase,Shots Outside The Box - Opposition,Fouls Won - Team,Free Kicks - Attempt at Goal 1st Phase,Crossing Accuracy % - Team,Successful Dribbles - Opposition,Free Kicks - No Contact - Team Foul,Tackles - Opposition,Shots On Target - Opposition,Crosses - Team,Long Passes - Team,Free Kicks - Team,Free Kicks - Opposition Counter Attacks,Total Passes In Final Third - Opposition,Long Passes Proportion % - Team,Corners - No Contact - Team Foul,Passes - Opposition,Corners - Passed Short,Possession % - Opposition,Corners - Attempt at Goal 1st Phase,Free Kicks - Team first contact,Long Passes Proportion % - Opposition,Blocked Shots - Opposition,Passing Accuracy % - Team,Shots - Opposition,Shots - Team,Corners - No Contact - Direct Shot at Goal,Headed Shots - Team,Crosses - Opposition,Crossing Accuracy % - Opposition,Duels - Opposition,Penalties Scored,Interceptions - Team,Free Kicks - Opposition First Contact,Corners - Maintain Possession,Yellow Cards - Team,Aerials Duels Won % - Opposition,Passing Accuracy % - Opposition,Shots Outside The Box - Team,Passes In Opposition Half - Team,Free Kicks - Goal Scored 1st Phase,Clearances - Opposition,Passing Accuracy In Final Third % - Opposition,Free Kicks - Offside,Corners - Lose Possession,Recoveries - Team,Shots Inside The Box - Team,Passes In Opposition Half - Opposition,Corners - Attempt at Goal 2nd Phase,Corners - Offside,Corners - Win Set Play (Including Throw In),Goals - Team,Final Third Entries - Team,Tackle Success Rate % - Team,Offsides - Team,Key Passes - Opposition,Corners - Opposition Counter Attacks,Shooting Accuracy % - Opposition,Passing Accuracy In Final Third % - Team,Through Balls - Opposition,Interceptions - Opposition,Corners - Opposition,Headed Shots - Opposition,Shooting Accuracy % - Team,Aerial Duels - Opposition,Corners - No Contact - Ball Hit Out of Play,Red Cards - Opposition,Aerial Duels - Team,Free Kicks - Lose Possession,Duels Success Rate % - Opposition,Corners - Goal Scored 2nd Phase,Free Kicks - Passed Short,Tackles - Team,Penalty Area Entries - Team,Corners - Opposition First Contact,Through Balls - Team,Penalty Area Entries - Opposition,Goals - Opposition,Tackle Success Rate % - Opposition,Free Kicks - No Contact - Ball Hit Out of Play,Recoveries - Opposition,Free Kicks - Attempt at Goal 2nd Phase,Final Third Entries - Opposition,Free Kicks - Maintain Possession,Passes - Team,Free Kicks - No Contact - Direct Shot at Goal,Corners - Goal Scored 1st Phase,Red Cards - Team,Total Open Play Crosses - Team,Shot Accuracy Excluding Blocked Shots % - Opposition,Shot Accuracy Excluding Blocked Shots % - Team,Duels Success Rate % - Team,Yellow Cards - Opposition,Free Kicks - Win Set Play (Including Throw In),Long Passes - Opposition,Key Passes - Team,Offsides - Opposition,Total Passes In Final Third - Team,Corners - Team,Clearances - Team,Corners - Team first contact,Total Open Play Crosses - Opposition,Possession % - Team,Duels - Team,Blocked Shots - Team,Passing Accuracy In Opposition Half % - Team,Shots Inside The Box - Opposition,Shots On Target - Team,Passing Accuracy In Opposition Half % - Opposition
5BA1E87E-5308-46CB-B9C4-0BD00A6DB337,2020-01-03 00:00:00,English Premier League,2019/2020,3-0,Away,First Team,4-2-3-1,4-2-3-1,Fulham,10,9,47.8,0,2,13,0,0.5,14,0,20,1,17,59,1,0,122,8,0,522,0,49.4,3,0,9.7,2,83.4,7,15,0,3,11,0.3,107,0,20,1,1,1,52.2,77.6,4,213,0,13,69.7,0,0,63,11,242,0,0,0,3,45,58.8,5,6,0,14.3,79.4,1,5,4,2,53.3,23,0,0,23,1,53.3,0,0,17,16,0,1,10,0,60,0,49,0,55,0,470,0,0,0,12,20,88.9,46.7,1,0,54,12,1,131,4,12,4,5,50.6,107,6,83.1,5,8,75.2
EDA6901C-4A58-49C2-B52E-2AF5D125B844,2020-01-10 00:00:00,English Premier League,2019/2020,2-1,Away,First Team,5-3-2,4-2-3-1,Crystal Palace,8,9,30.4,0,4,18,0,0.3,16,0,17,6,23,62,6,1,113,8.3,0,570,1,53.4,2,0,9.8,4,77.5,16,15,0,2,15,0.4,118,0,16,4,2,2,69.6,82.5,4,251,0,36,76.1,0,3,62,11,255,1,0,0,2,43,76.9,0,12,0,37.5,69.7,0,14,8,3,40,23,1,0,23,2,48.3,0,2,26,13,5,1,8,1,82.4,0,73,1,46,2,516,0,0,0,11,50,54.5,51.7,2,0,58,11,2,119,8,12,1,8,46.6,118,4,76.1,12,6,79.2
BF215613-EDC8-4837-B0B3-D76819B3715E,2020-02-03 00:00:00,English Premier League,2019/2020,0-4,Away,First Team,4-2-2-2,4-1-4-1,West Bromwich Albion,8,12,58.8,0,2,16,3,0.2,8,0,29,2,13,57,3,0,105,7.9,0,470,0,49.4,0,1,8.4,2,77.7,6,19,0,1,18,0.1,110,0,21,0,0,0,41.2,75.7,5,143,0,16,69.5,0,2,70,14,186,0,0,1,4,37,65,2,6,1,33.3,67.9,1,14,3,1,47.4,17,1,0,17,0,47.3,0,1,20,13,2,0,10,0,69,0,65,0,45,0,449,1,0,0,8,50,60,52.7,2,0,56,11,3,84,4,12,1,14,50.6,110,4,73.4,4,9,73.7
8A09471B-29BF-4F64-9009-4D35BF99B949,2020-02-14 00:00:00,English Premier League,2019/2020,2-0,Away,First Team,4-2-3-1,4-4-1-1,Fulham,5,14,52.8,0,2,12,0,0.3,12,0,21,2,19,73,4,0,54,10.7,0,347,1,33.1,1,0,4.4,0,87.7,4,18,0,5,5,0,109,0,10,1,0,2,47.2,69.2,5,326,0,26,63,0,0,64,13,148,0,0,0,2,57,44.4,3,4,0,50,81.8,3,10,1,0,33.3,36,0,1,36,1,50.5,0,3,9,12,0,4,6,0,38.1,0,63,0,35,3,780,0,1,1,17,50,37.5,49.5,1,0,79,14,2,148,2,8,1,4,66.9,109,2,88,2,6,75
8D684859-256F-4D8F-89D9-345C406B6809,2020-02-28 00:00:00,English Premier League 2,2019/2020,0-2,Away,First Team,4-2-3-1,4-2-3-1,Blackburn Rovers PL2,6,6,58.3,0,4,13,0,0.1,10,0,12,3,23,58,4,0,66,9.8,0,505,0,47.5,1,0,6.2,0,81.4,6,9,0,1,7,0.4,80,0,9,2,0,0,41.7,83.4,2,256,0,23,78.8,0,1,64,7,173,0,0,0,2,53,76.2,1,5,0,50,69.4,0,12,1,0,33.3,12,0,1,12,1,41.2,1,2,21,12,2,2,7,0,66.7,0,60,1,43,2,569,0,0,0,18,50,37.5,58.8,1,0,81,7,3,111,3,10,1,6,52.5,80,1,77.7,2,3,83.8
CC0F6964-B505-47E2-8921-C1A254D9BB1E,2020-09-11 00:00:00,English Premier League,2020/2021,2-2,Home,First Team,4-2-3-1,4-2-3-1,Stoke City,10,9,53.8,0,2,20,2,0.5,8,0,25,5,22,68,7,0,104,8.5,0,427,1,44,1,1,5.2,3,80.1,12,14,0,1,15,0.3,123,0,5,2,1,1,46.2,76.1,6,217,0,28,71.2,0,1,66,8,189,1,1,0,2,67,84,1,7,0,41.7,70.8,0,11,2,0,28.6,26,0,0,26,1,44.7,1,3,25,14,3,0,14,2,68,0,54,0,39,3,577,1,0,0,14,55.6,44.4,55.3,3,1,82,10,1,106,6,20,2,13,56,123,5,74.7,10,4,73
A7B7467F-A9C5-4D7E-9AAB-7B9BE160F7DE,2020-09-25 00:00:00,English Premier League,2020/2021,1-3,Away,First Team,4-2-3-1,4-4-2,West Bromwich Albion,10,14,53.3,0,2,18,4,0.2,9,0,35,2,19,113,6,0,65,4.7,0,290,2,39.3,0,1,3.2,0,75.1,9,25,0,1,12,0.3,127,0,9,0,2,2,46.7,55.5,15,187,1,23,56.9,0,2,67,10,141,2,0,0,3,66,72.7,3,6,0,22.2,69.4,0,19,3,2,32,30,0,0,30,0,53.5,0,1,11,17,3,0,14,1,62.9,0,76,0,26,1,527,4,0,0,14,22.2,44.4,46.5,1,0,92,14,6,98,6,13,1,8,60.7,127,7,75.4,7,8,55.3
9AC5DABF-8B36-4C34-85B3-E69A09947CD2,2020-10-05 00:00:00,English Premier League,2020/2021,0-4,Home,First Team,4-2-3-1,4-1-4-1,Fulham,11,7,55,0,3,15,2,0.2,11,0,23,9,15,72,5,2,115,7.1,1,386,0,44.6,1,0,5.8,3,78.2,16,9,0,1,29,0.2,110,0,10,1,0,2,45,72.8,3,160,0,16,73,0,2,47,6,207,0,0,0,0,48,95,0,14,0,56.2,76.3,1,20,8,2,22.2,20,0,0,20,1,50,0,2,20,6,1,1,18,4,60.9,0,53,0,33,0,509,2,0,0,11,69.2,33.3,50,3,0,66,4,3,93,3,22,1,20,55.4,110,3,75.6,13,2,72.5
D28C6FD7-D3E1-4697-98EE-B85E3ABD6AF9,2020-10-19 00:00:00,English Premier League,2020/2021,2-1,Away,First Team,4-2-3-1,4-3-3,Stoke City,8,14,58.3,0,5,10,0,0.3,12,0,23,3,16,58,1,1,103,10.2,0,508,1,45.6,1,0,6.2,3,86.7,7,26,0,0,9,0.1,96,0,6,0,2,0,41.7,81.1,12,289,0,16,77.7,0,2,48,14,196,1,0,0,2,65,76.5,2,4,0,42.9,79.7,0,14,3,0,34.6,12,0,0,12,0,50,0,1,17,19,4,1,13,1,60.9,0,40,0,38,0,593,0,0,0,11,75,39.1,50,0,0,82,22,4,128,6,11,1,6,54.4,96,3,86.5,2,9,80.6
844797A0-39E5-480D-AEC2-7470C83914AC,2020-10-23 00:00:00,English Premier League,2020/2021,1-0,Home,First Team,4-2-3-1,4-2-3-1,Fulham,19,2,61.1,0,2,10,1,0.1,8,0,21,1,20,73,1,0,72,10.1,0,403,0,37.1,1,0,4.7,2,87.3,8,14,0,4,10,0.2,93,0,11,1,1,3,38.9,74.7,5,322,0,10,75,0,1,58,9,150,0,0,0,0,60,66.7,1,7,1,12.5,72.1,0,15,4,0,50,18,0,0,18,0,59.1,0,0,15,10,3,1,15,1,61.9,0,66,0,52,0,734,0,0,0,15,16.7,50,40.9,1,0,85,11,5,129,4,3,1,7,62.9,93,0,82.6,6,7,75.3
